addressString,fullAddress,score,precision,faults,X,Y,Notes,PostalCode,"Borough ",Neighborhood,Latitude,Longitude,PostalCode,"Borough ",Neighborhood,PostalCode,"Borough "
North Hastings/ Sunrise,"North Creek Trail, Vancouver, BC",69,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.isAlias:4, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-123.1422887,49.3038316,,V5K,"Vancouver ",undefined,undefined,undefined,V5K,"Vancouver ",undefined,V5K,"Vancouver "
North grandview - Woodland,"North Creek Trail, Vancouver, BC",69,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.spelledWrong:2, LOCALITY.isAlias:4, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-123.1422887,49.3038316,,V5L,"Vancouver ",undefined,undefined,undefined,V5L,"Vancouver ",undefined,V5L,"Vancouver "
South Hastings- North Renfrew Collingwod,"Renfrew-Collingwood, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1]",-123.0346508,49.24983,,V5M,"Vancouver ",undefined,undefined,undefined,V5M,"Vancouver ",undefined,V5M,"Vancouver "
South Grandview - Woodland- Ne Kensington- Cedaar Cottage,"Kensington-Cedar Cottage, BC",53,LOCALITY(68),"[STREET_NAME.notMatched:12, LOCALITY.spelledWrong:2, PROVINCE.missing:1]",-123.0679857,49.2498298,,V5N,"Vancouver ",undefined,undefined,undefined,V5N,"Vancouver ",undefined,V5N,"Vancouver "
"SE Kensington- Cedar Cottage- Victoria- Fraserview ","Victoria-Fraserview, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.067984,49.2164962,,V5P,"Vancouver ",undefined,undefined,undefined,V5P,"Vancouver ",undefined,V5P,"Vancouver "
South Renfrew- Collingwood,"South Creek Trail, Vancouver, BC",71,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.isAlias:4, STREET_QUALIFIER.missing:1, PROVINCE.missing:1]",-123.139155,49.3007422,,V5R,Vancouver,undefined,undefined,undefined,V5R,Vancouver,undefined,V5R,Vancouver
Killarney,"Killarney, BC",67,LOCALITY(68),[PROVINCE.missing:1],-123.03465,49.2164972,,V5S,Vancouver,undefined,undefined,undefined,V5S,Vancouver,undefined,V5S,Vancouver
East Mount Pleasant,"East Boulevard, Vancouver, BC",72,STREET(78),"[STREET_NAME.partialMatch:1, LOCALITY.isAlias:4, PROVINCE.missing:1]",-123.1542215,49.226656,,V5T,Vancouver,undefined,undefined,undefined,V5T,Vancouver,undefined,V5T,Vancouver
" Cedar Cottage, vancouver ","Cedar Cottage Mews, Vancouver, BC",71,STREET(78),"[STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.0750778,49.2491254,,V5V,Vancouver,undefined,undefined,undefined,V5V,Vancouver,undefined,V5V,Vancouver
SE Riley- Park Little Mountain- SW Kensington- Cedar Cottage- NE Oakridge - North Sunset,"Sunset, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.0846513,49.2164962,,V5W,Vancouver,undefined,undefined,undefined,V5W,Vancouver,undefined,V5W,Vancouver
SE Oakridge- East Marpole- South Sunset,"Sunset, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.0846513,49.2164962,,V5X,Vancouver,undefined,undefined,undefined,V5X,Vancouver,undefined,V5X,Vancouver
"West Mount Pleasant- West Riley Park , vancouver","Vancouver, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1138889,49.2611111,,V5Y,Vancouver,undefined,undefined,undefined,V5Y,Vancouver,undefined,V5Y,Vancouver
"East Fairview, South Cambie ","Fairview Ave, Vancouver, BC",65,STREET(78),"[LOCALITY.isAlias:4, STREET_DIRECTION.notMatched:2, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.0880415,49.2748356,,V5Z,"Vancouver ",undefined,undefined,undefined,V5Z,"Vancouver ",undefined,V5Z,"Vancouver "
"Strathcona, vancouver","Strathcona Way, District of North Vancouver, BC",70,STREET(78),"[LOCALITY.isAlias:1, STREET_TYPE.missing:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.9482426,49.3181208,,V6A,"Vancouver ",undefined,undefined,undefined,V6A,"Vancouver ",undefined,V6A,"Vancouver "
"Waterfront, vancouver","Waterfront, Bowen Island, BC",71,STREET(78),"[LOCALITY.isAlias:6, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1283606,49.2920459,,V6C,Vancouver,undefined,undefined,undefined,V6C,Vancouver,undefined,V6C,Vancouver
" Davie street, vancouver","Davie St, Vancouver, BC",77,STREET(78),[PROVINCE.missing:1],-123.1279289,49.2782741,,V6E,"Vancouver ",undefined,undefined,undefined,V6E,"Vancouver ",undefined,V6E,"Vancouver "
Stanley Park,"Stanley Park Causeway, Vancouver, BC",66,STREET(78),"[LOCALITY.missing:10, STREET_QUALIFIER.missing:1, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1411843,49.2994878,,V6G,Vancouver,undefined,undefined,undefined,V6G,Vancouver,undefined,V6G,Vancouver
"West Fairview- Granvile Iceland- NE Shaughnessy ","Shaughnessy, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.134654,49.2498284,,V6H,"Vancouver ",undefined,undefined,undefined,V6H,"Vancouver ",undefined,V6H,"Vancouver "
"Kitsilano, vancouver ","Kitsilano Diversion, Vancouver, BC",71,STREET(78),"[STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.1679456,49.2621555,,V6J,"Vancouver ",undefined,undefined,undefined,V6J,"Vancouver ",undefined,V6J,"Vancouver "
Central Kitsilano beach,"Kitsilano Diversion, Vancouver, BC",61,STREET(78),"[LOCALITY.missing:10, STREET_DIRECTION.notMatched:2, STREET_TYPE.notMatched:3, STREET_TYPE.spelledWrong:1, PROVINCE.missing:1]",-123.1679456,49.2621555,,V6K,"Vancouver ",undefined,undefined,undefined,V6K,"Vancouver ",undefined,V6K,"Vancouver "
NW Arbutus Ridge- NE Dunbar- Southlands,"Dunbar-Southlands, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1846553,49.2498275,,V6L,"Vancouver ",undefined,undefined,undefined,V6L,"Vancouver ",undefined,V6L,"Vancouver "
South Shaughnessy- NW Oakridge- NE Kerrisdale- SE Arbutus Ridge,"Arbutus Ridge, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1679883,49.2498278,,V6M,"Vancouver ",undefined,undefined,undefined,V6M,"Vancouver ",undefined,V6M,"Vancouver "
"West Kerisdale, South Dunbar, Southlands ","Dunbar-Southlands, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1846553,49.2498275,,V6N,"Vancouver ",undefined,undefined,undefined,V6N,"Vancouver ",undefined,V6N,"Vancouver "
SE Kerrisdale- SW Oakridge- West Marpole,"Marpole, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1346519,49.1998284,,V6P,"Vancouver ",undefined,undefined,undefined,V6P,"Vancouver ",undefined,V6P,"Vancouver "
Point Grey- Jericho beach,"Gray Ave, Vancouver, BC",68,STREET(78),"[LOCALITY.isAlias:4, STREET_NAME.spelledWrong:2, STREET_TYPE.notMatched:3, STREET_TYPE.notPrefix:0, PROVINCE.missing:1]",-123.2337834,49.2525603,,V6R,"Vancouver ",undefined,undefined,undefined,V6R,"Vancouver ",undefined,V6R,"Vancouver "
"NW Dunbar, Southlands- Chaldecutt, vancouver","Vancouver, BC",55,LOCALITY(68),"[STREET_NAME.notMatched:12, PROVINCE.missing:1]",-123.1138889,49.2611111,,V6S,"Vancouver ",undefined,undefined,undefined,V6S,"Vancouver ",undefined,V6S,"Vancouver "
"UBC, vancouver","UBC Loop, Vancouver, BC",71,STREET(78),"[STREET_TYPE.missing:6, PROVINCE.missing:1]",-123.2473954,49.2680866,,V6T,"Vancouver ",undefined,undefined,undefined,V6T,"Vancouver ",undefined,V6T,"Vancouver "
" Burrard street vancouver","Burrard St, Vancouver, BC",77,STREET(78),[PROVINCE.missing:1],-123.1337767,49.2760115,,V6Z,"Vancouver ",undefined,undefined,undefined,V6Z,"Vancouver ",undefined,V6Z,"Vancouver "
"Bental Center, Vancouver","Bentall St, Vancouver, BC",71,STREET(78),"[STREET_NAME.spelledWrong:2, STREET_TYPE.notMatched:3, STREET_TYPE.spelledWrong:1, PROVINCE.missing:1]",-123.0320072,49.2595908,,V7X,"Vancouver ",undefined,undefined,undefined,V7X,"Vancouver ",undefined,V7X,"Vancouver "
"Pacific Center , vancouver","Pacific St, Vancouver, BC",73,STREET(78),"[STREET_TYPE.notMatched:3, STREET_TYPE.spelledWrong:1, PROVINCE.missing:1, MAX_RESULTS.too_low_to_include_all_best_matches:0]",-123.1302815,49.2756519,,V7Y,"Vancouver ",undefined,undefined,undefined,V7Y,"Vancouver ",undefined,V7Y,"Vancouver "